Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,ODI_BOWLING.Balls,ODI_BOWLING.SR,Player_Name
1,AUS,42,41,1,0,1287,163,2,8,1,0,8,0,0,0,0,11,0,Australia,6,0,DA Warner
2,AUS,116,35,0,18,199,21*,0,0,5,0,0,0,0,0,0,26,0,Australia,0,0,NW Bracken
3,AUS,69,61,39,6,1796,111,1,14,4,1,698,18,4\21,2,0,29,0,Australia,802,44.5,DJ Hussey
4,AUS,173,152,149,24,5256,185*,9,30,11,35,4933,163,4\36,3,0,60,0,Australia,6070,37.2,SR Watson
5,AUS,105,98,0,11,2753,110,2,16,2,0,0,0,0,0,0,146,10,Australia,0,0,BJ Haddin
6,AUS,5,3,5,2,21,11*,0,0,0,1,214,7,3\28,0,0,0,0,Australia,216,30.8,PJ Cummins
7,AUS,87,73,19,15,2037,105,2,11,3,2,351,12,3\5,0,0,37,0,Australia,331,27.5,CL White
8,AUS,185,157,13,44,5442,109*,3,39,3,1,235,2,1\22,0,0,105,0,Australia,240,120,MEK Hussey
9,AUS,136,79,0,27,829,73*,0,2,5,0,0,0,0,0,0,29,0,Australia,0,0,MG Johnson
10,AUS,286,278,0,11,9595,172,16,55,19,0,0,0,0,0,0,416,54,Australia,0,0,AC Gilchrist
11,AUS,34,23,27,4,399,46*,0,0,2,0,780,22,3\33,0,0,15,0,Australia,899,40.8,SPD Smith
12,AUS,1,1,1,0,1,1,0,0,0,1,20,1,1\20,0,0,0,0,Australia,42,42,DP Nannes
13,AUS,42,38,0,2,792,75,0,4,4,0,0,0,0,0,0,43,7,Australia,0,0,MS Wade
14,AUS,35,7,34,5,25,11,0,0,1,11,1461,62,4\39,2,0,8,0,Australia,1688,27.2,SW Tait
15,AUS,236,215,104,43,7683,130,8,55,10,7,2130,56,5\35,1,1,100,0,Australia,2549,45.5,MJ Clarke
16,AUS,23,22,4,0,772,148,3,2,2,0,26,2,1\2,0,0,12,0,Australia,40,20,AJ Finch
17,AUS,24,23,20,5,621,92,0,6,1,3,637,11,4\63,1,0,9,0,Australia,705,64,GJ Maxwell
18,AUS,39,37,0,6,1647,156,2,12,1,0,0,0,0,0,0,23,0,Australia,0,0,GJ Bailey
19,AUS,21,13,20,7,48,21,0,0,0,13,832,44,5\19,0,3,6,0,Australia,1031,23.4,RJ Harris
20,AUS,374,364,5,39,13589,164,29,82,20,0,104,3,1\12,0,0,159,0,Australia,150,50,RT Ponting
21,AUS,123,65,113,26,790,71*,0,2,9,37,4188,156,5\32,3,2,36,0,Australia,5564,35.6,GB Hogg
22,AUS,221,110,0,44,1176,59,0,3,16,0,0,0,0,0,0,54,0,Australia,0,0,B Lee
23,AUS,19,18,19,5,273,39,0,0,0,4,595,20,5\31,0,1,10,0,Australia,727,36.3,DT Christian
24,AUS,25,21,3,2,575,123,1,3,3,0,51,1,1\17,0,0,16,0,Australia,66,66,BJ Hodge
25,AUS,59,31,59,10,190,30,0,0,3,38,2364,97,5\28,4,2,7,0,Australia,2965,30.5,CJ McKay
26,AUS,198,161,158,33,5088,156,6,30,15,30,4955,133,5\18,2,1,82,0,Australia,5935,44.6,A Symonds
27,AUS,39,12,38,7,69,16*,0,0,1,18,1477,53,4\54,2,0,10,0,Australia,1829,34.5,SR Clark
28,AUS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Australia,0,0,AA Noffke
28,AUS,1,0,1,0,0,0,0,0,0,0,46,1,1\46,0,0,0,0,Australia,54,54,AA Noffke
29,AUS,7,5,7,2,49,16,0,0,0,1,363,11,3\34,0,0,1,0,Australia,414,37.6,NM Coulter-Nile
30,AUS,160,154,1,15,6131,181*,10,36,9,0,18,0,0,0,0,68,0,Australia,6,0,ML Hayden
31,AUS,3,1,3,0,27,27,0,0,0,1,140,5,3\45,0,0,1,0,Australia,180,36,BCJ Cutting
32,AUS,26,26,0,1,737,111,1,5,1,0,0,0,0,0,0,35,4,Australia,0,0,TD Paine
33,AUS,19,7,19,4,122,52*,0,1,0,6,737,37,5\20,3,3,4,0,Australia,874,23.6,MA Starc
34,AUS,84,61,75,8,1326,63*,0,3,1,32,2384,67,5\14,0,1,25,0,Australia,3157,47.1,JR Hopes
35,AUS,45,44,0,2,1667,151,3,10,3,0,0,0,0,0,0,9,0,Australia,0,0,SE Marsh
36,AUS,39,8,39,2,50,30,0,0,1,28,1482,62,5\35,3,2,12,0,Australia,1942,31.3,DE Bollinger
38,AUS,13,7,13,3,40,13,0,0,0,5,572,16,4\51,1,0,2,0,Australia,637,39.8,JL Pattinson
39,AUS,31,28,15,9,870,112*,1,4,0,1,276,6,1\3,0,0,7,0,Australia,301,50.1,AC Voges
40,AUS,24,16,23,5,506,116,1,3,0,5,1081,36,4\48,2,0,5,0,Australia,1120,31.1,JP Faulkner
41,AUS,43,13,42,9,74,28*,0,0,2,28,1674,67,5\45,1,2,13,0,Australia,2225,33.2,MS Kasprowicz
42,AUS,208,182,31,51,5346,144*,5,37,10,2,704,12,2\21,0,0,69,0,Australia,794,66.1,DR Martyn
43,AUS,45,42,0,5,1324,107*,1,9,3,0,0,0,0,0,0,13,0,Australia,0,0,SM Katich
44,AUS,54,21,50,14,100,15*,0,0,2,16,1987,51,4\28,3,0,17,0,Australia,2516,49.3,XJ Doherty
46,AUS,30,25,0,9,663,71*,0,5,0,0,0,0,0,0,0,7,0,Australia,0,0,CJ Ferguson
47,AUS,3,1,3,1,4,4*,0,0,0,0,145,3,1\39,0,0,0,0,Australia,144,48,Fawad Ahmed
48,AUS,58,32,56,17,336,53*,0,1,0,12,2152,63,4\29,2,0,24,0,Australia,2724,43.2,NM Hauritz
49,AUS,5,5,4,1,32,12,0,0,0,1,123,4,3\32,0,0,1,0,Australia,162,40.5,MC Henriques
50,AUS,2,2,2,2,10,10*,0,0,0,0,78,3,2\11,0,0,1,0,Australia,90,30,B Geeves
51,AUS,97,39,0,16,289,44*,0,0,8,0,0,0,0,0,0,10,0,Australia,0,0,JN Gillespie
52,AUS,5,1,5,1,1,1*,0,0,0,1,219,4,1\28,0,0,2,0,Australia,224,56,B Laughlin
53,AUS,4,4,3,1,39,22,0,0,0,0,44,1,1\19,0,0,1,0,Australia,48,48,MR Marsh
