Player_Id,COUNTRY_ID,Matches,Bat_Innings,Bowl_Innings,Not_Outs,Runs_Scored,Highest_Score,Hundreds,Fifties,Ducks,Fours,Sixes,Maidens,Runs_Conceded,Wickets,BBI,Four_Wkt_Hauls,Five_Wkt_Hauls,Catches,Stumpings,COUNTRY_NAME,Player_Name,T20_BOWLING.Bowl_Avg,T20_BOWLING.Economy_Rate,T20_BOWLING.Overs,T20_BOWLING.SR,T20_FIELDING.Dissmissals,T20_FIELDING.Field_Innings,T20_FIELDING.Matches
1,AUS,2009-2014,51,0,2,1391,90*,0,10,5,133,63,0,0,0,0,0,0,28,0,Australia,DA Warner,0,0,0,0,28,51,51
2,AUS,19,6,19,3,15,4*,0,0,1,1,0,2,438,19,3\11,0,0,6,0,Australia,NW Bracken,23.05,6.97,62.5,19.8,6,19,19
3,AUS,39,36,25,3,756,88*,0,3,4,41,34,1,392,19,3\25,0,0,24,0,Australia,DJ Hussey,20.63,6.51,60.1,19,24,39,39
4,AUS,45,43,39,3,1074,81,0,10,3,83,66,2,945,39,4\15,1,0,15,0,Australia,SR Watson,24.23,7.56,125,19.2,15,45,45
5,AUS,33,29,0,6,402,47,0,0,2,30,13,0,0,0,0,0,0,17,5,Australia,BJ Haddin,0,0,0,0,22,33,33
6,AUS,11,5,11,1,22,13,0,0,1,1,1,2,315,16,3\15,0,0,1,0,Australia,PJ Cummins,19.68,7.32,43,16.1,1,11,11
7,AUS,44,41,5,12,918,85*,0,5,3,64,43,0,51,1,1\11,0,0,22,0,Australia,CL White,51,7.28,7,42,22,44,44
8,AUS,38,30,1,11,721,60*,0,4,1,58,25,0,5,0,0,0,0,20,0,Australia,MEK Hussey,0,5,1,0,20,38,38
9,AUS,30,17,30,7,109,28*,0,0,2,8,3,2,797,38,3\15,0,0,5,0,Australia,MG Johnson,20.97,7.28,109.2,17.2,5,30,30
10,AUS,13,13,0,1,272,48,0,0,0,27,13,0,0,0,0,0,0,17,0,Australia,AC Gilchrist,0,0,0,0,17,13,13
11,AUS,20,15,16,4,165,34,0,0,1,12,3,1,373,17,3\20,0,0,16,0,Australia,SPD Smith,21.94,7.85,47.3,16.7,16,20,20
12,AUS,15,4,14,3,16,12*,0,0,0,1,1,2,403,27,4\18,1,0,1,0,Australia,DP Nannes,14.92,7.6,53,11.7,1,15,15
13,AUS,22,13,0,4,202,72,0,1,0,11,8,0,0,0,0,0,0,12,2,Australia,MS Wade,0,0,0,0,14,22,22
14,AUS,19,5,19,1,10,6,0,0,1,0,1,2,498,28,3\13,0,0,3,0,Australia,SW Tait,17.78,6.94,71.4,15.3,3,19,19
15,AUS,34,28,15,5,488,67,0,1,2,29,10,0,225,6,1\2,0,0,13,0,Australia,MJ Clarke,37.5,8.65,26,26,13,34,34
16,AUS,18,18,2,2,660,156,1,5,0,70,30,0,27,0,0,0,0,3,0,Australia,AJ Finch,0,13.5,2,0,3,18,18
17,AUS,21,17,17,2,303,74,0,1,0,24,21,0,320,11,2\15,0,0,11,0,Australia,GJ Maxwell,29.09,7.27,44,24,11,21,21
18,AUS,28,25,0,7,470,63,0,2,1,37,20,0,0,0,0,0,0,9,0,Australia,GJ Bailey,0,0,0,0,9,28,28
19,AUS,3,1,3,1,2,2*,0,0,0,0,0,1,95,4,2\27,0,0,0,0,Australia,RJ Harris,23.75,8.14,11.4,17.5,0,3,3
20,AUS,17,16,0,2,401,98*,0,2,2,41,11,0,0,0,0,0,0,8,0,Australia,RT Ponting,0,0,0,0,8,17,17
21,AUS,15,4,15,0,55,41,0,0,0,3,3,1,373,7,2\31,0,0,1,0,Australia,GB Hogg,53.28,7.61,49,42,1,15,15
22,AUS,25,12,25,6,101,43*,0,0,2,9,4,0,714,28,3\23,0,0,6,0,Australia,B Lee,25.5,7.86,90.5,19.4,6,25,25
23,AUS,15,6,15,3,18,6*,0,0,1,2,0,0,310,11,3\27,0,0,5,0,Australia,DT Christian,28.18,8.85,35,19,5,15,15
24,AUS,15,11,3,4,183,36,0,0,0,9,7,0,43,1,1\13,0,0,5,0,Australia,BJ Hodge,43,8.6,5,30,5,15,15
25,AUS,6,4,6,2,19,7,0,0,1,1,1,1,183,4,2\24,0,0,0,0,Australia,CJ McKay,45.75,8.07,22.4,34,0,6,6
26,AUS,14,11,12,4,337,85*,0,2,2,33,10,0,277,8,2\14,0,0,3,0,Australia,A Symonds,34.62,8.98,30.5,23.1,3,14,14
27,AUS,9,0,9,0,0,0,0,0,0,0,0,0,237,13,4\20,1,0,4,0,Australia,SR Clark,18.23,6.58,36,16.6,4,9,9
28,AUS,2,1,2,0,0,0,0,0,1,0,0,1,41,4,3\18,0,0,0,0,Australia,AA Noffke,10.25,5.46,7.3,11.2,0,2,2
29,AUS,10,4,10,2,41,16*,0,0,1,1,4,0,311,14,4\31,1,0,4,0,Australia,NM Coulter-Nile,22.21,8.4,37,15.8,4,10,10
30,AUS,9,9,0,3,308,73*,0,4,0,37,13,0,0,0,0,0,0,1,0,Australia,ML Hayden,0,0,0,0,1,9,9
31,AUS,3,2,3,0,29,29,0,0,1,1,3,0,88,1,1\18,0,0,4,0,Australia,BCJ Cutting,88,8.8,10,60,4,3,3
32,AUS,5,3,0,0,22,21,0,0,1,2,1,0,0,0,0,0,0,4,0,Australia,TD Paine,0,0,0,0,4,5,5
33,AUS,18,5,18,1,12,4,0,0,0,0,0,1,459,24,3\11,0,0,3,0,Australia,MA Starc,19.12,6.8,67.3,16.8,3,18,18
34,AUS,12,7,12,2,105,30,0,0,0,7,1,0,283,10,2\26,0,0,3,0,Australia,JR Hopes,28.3,7.64,37,22.2,3,12,12
35,AUS,13,13,0,1,223,47*,0,0,2,12,10,0,0,0,0,0,0,3,0,Australia,SE Marsh,0,0,0,0,3,13,13
36,AUS,6,2,6,2,1,1*,0,0,0,0,0,0,176,6,1\23,0,0,2,0,Australia,DE Bollinger,29.33,7.33,24,24,2,6,6
37,AUS,5,2,5,1,4,3,0,0,0,0,0,0,109,6,2\13,0,0,3,0,Australia,JM Muirhead,18.16,7.26,15,15,3,5,5
38,AUS,4,2,4,2,5,5*,0,0,0,1,0,0,104,3,2\17,0,0,3,0,Australia,JL Pattinson,34.66,8,13,26,3,4,4
39,AUS,7,5,1,2,139,51,0,1,0,8,2,0,5,2,2\5,0,0,3,0,Australia,AC Voges,2.5,2.5,2,6,3,7,7
40,AUS,7,5,7,2,40,13,0,0,0,2,1,0,209,7,3\28,0,0,2,0,Australia,JP Faulkner,29.85,8.14,25.4,22,2,7,7
41,AUS,2,1,2,1,3,3*,0,0,0,0,0,0,57,5,4\29,1,0,2,0,Australia,MS Kasprowicz,11.4,8.14,7,8.4,2,2,2
42,AUS,4,4,0,0,120,96,0,1,0,11,5,0,0,0,0,0,0,1,0,Australia,DR Martyn,0,0,0,0,1,4,4
43,AUS,3,2,0,0,69,39,0,0,0,8,2,0,0,0,0,0,0,2,0,Australia,SM Katich,0,0,0,0,2,3,3
44,AUS,11,4,11,3,18,9*,0,0,0,1,0,0,300,10,3\20,0,0,0,0,Australia,XJ Doherty,30,7.89,38,22.8,0,11,11
45,AUS,4,3,0,0,31,17,0,0,0,3,1,0,0,0,0,0,0,1,0,Australia,TR Birt,0,0,0,0,1,4,4
46,AUS,3,3,0,0,16,8,0,0,1,1,0,0,0,0,0,0,0,1,0,Australia,CJ Ferguson,0,0,0,0,1,3,3
47,AUS,2,1,2,1,3,3*,0,0,0,0,0,0,68,3,3\25,0,0,0,0,Australia,Fawad Ahmed,22.66,8.5,8,16,0,2,2
48,AUS,3,2,2,0,6,4,0,0,0,1,0,0,47,2,1\20,0,0,1,0,Australia,NM Hauritz,23.5,6.4,7.2,22,1,3,3
49,AUS,4,2,3,0,13,12,0,0,0,1,0,0,65,3,2\35,0,0,1,0,Australia,MC Henriques,21.66,9.28,7,14,1,4,4
50,AUS,1,0,1,0,0,0,0,0,0,0,0,0,35,2,2\35,0,0,0,0,Australia,B Geeves,17.5,10.5,3.2,10,0,1,1
51,AUS,1,1,1,0,24,24,0,0,0,4,0,0,49,1,1\49,0,0,0,0,Australia,JN Gillespie,49,12.25,4,24,0,1,1
52,AUS,3,0,3,0,0,0,0,0,0,0,0,0,118,2,1\32,0,0,1,0,Australia,B Laughlin,59,9.97,11.5,35.5,1,3,3
53,AUS,3,3,2,1,49,36,0,0,0,2,4,0,41,1,1\30,0,0,1,0,Australia,MR Marsh,41,8.2,5,30,1,3,3
54,AUS,2,0,2,0,0,0,0,0,0,0,0,0,49,4,2\18,0,0,1,0,Australia,ML Lewis,12.25,6.53,7.3,11.2,1,2,2
55,AUS,3,1,3,1,0,0*,0,0,0,0,0,0,113,3,2\21,0,0,0,0,Australia,SM Harwood,37.66,9.41,12,24,0,3,3
56,AUS,2,1,0,1,33,33*,0,0,0,1,3,0,0,0,0,0,0,1,0,Australia,CA Lynn,0,0,0,0,1,2,2
57,AUS,3,2,0,0,47,36,0,0,0,8,1,0,0,0,0,0,0,0,0,Australia,L Ronchi,0,0,0,0,0,3,3
57,NZ,8,6,0,3,140,51*,0,1,1,11,7,0,0,0,0,0,0,8,1,New Zealand,L Ronchi,0,0,0,0,9,8,8
58,AUS,2,1,2,0,5,5,0,0,0,0,0,0,79,5,3\31,0,0,1,0,Australia,GD McGrath,15.8,9.87,8,9.6,1,2,2
59,AUS,3,3,3,2,32,15,0,0,0,2,1,0,66,3,3\14,0,0,0,0,Australia,JW Hastings,22,6.6,10,20,0,3,3
60,AUS,4,0,4,0,0,0,0,0,0,0,0,0,155,7,4\30,1,0,0,0,Australia,JR Hazlewood,22.14,9.68,16,13.7,0,4,4
61,AUS,1,1,0,0,34,34,0,0,0,6,1,0,0,0,0,0,0,0,0,Australia,NJ Maddinson,0,0,0,0,0,1,1
62,AUS,7,5,7,0,32,22,0,0,0,4,1,0,149,6,3\29,0,0,1,0,Australia,SNJ O'Keefe,24.83,7.84,19,19,1,7,7
63,AUS,7,3,7,1,2,2,0,0,1,0,0,0,161,9,2\15,0,0,0,0,Australia,BW Hilfenhaus,17.88,6.19,26,17.3,0,7,7
64,AUS,1,1,0,0,20,20,0,0,0,1,0,0,0,0,0,0,0,0,0,Australia,MJ North,0,0,0,0,0,1,1
65,AUS,1,1,0,0,15,15,0,0,0,1,1,0,0,0,0,0,0,0,0,Australia,LA Pomersbach,0,0,0,0,0,1,1
66,AUS,1,1,0,0,16,16,0,0,0,0,1,0,0,0,0,0,0,0,0,Australia,BJ Rohrer,0,0,0,0,0,1,1
